Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
36,tt1854513,2020-03-26,2020-03-26,,Blancanieves,https://www.imdb.com/title/tt1854513/,movie,7.5,104,2012,"Drama, Fantasy",11471,2012-09-08,Pablo Berger
37,tt0089469,2017-08-15,2017-08-15,,Legend,https://www.imdb.com/title/tt0089469/,movie,6.3,94,1985,"Adventure, Fantasy, Romance",70713,1985-08-28,Ridley Scott
38,tt0385752,2017-08-15,2017-08-15,,The Golden Compass,https://www.imdb.com/title/tt0385752/,movie,6.1,113,2007,"Adventure, Family, Fantasy",194714,2007-11-27,Chris Weitz
39,tt1587310,2017-08-15,2017-08-15,,Maleficent,https://www.imdb.com/title/tt1587310/,movie,6.9,97,2014,"Adventure, Family, Fantasy, Romance",393954,2014-05-28,Robert Stromberg
40,tt0980970,2017-08-15,2017-08-15,,The Chronicles of Narnia: The Voyage of the Dawn Treader,https://www.imdb.com/title/tt0980970/,movie,6.3,113,2010,"Adventure, Family, Fantasy",162986,2010-12-02,Michael Apted
41,tt0473075,2017-08-15,2017-08-15,,Prince of Persia: The Sands of Time,https://www.imdb.com/title/tt0473075/,movie,6.6,116,2010,"Action, Adventure, Fantasy",300099,2010-05-09,Mike Newell
42,tt0091203,2017-09-05,2017-09-05,,Highlander,https://www.imdb.com/title/tt0091203/,movie,7.0,116,1986,"Action, Adventure, Fantasy",144132,1986-01-31,Russell Mulcahy
43,tt0087078,2017-08-15,2017-08-15,,Conan the Destroyer,https://www.imdb.com/title/tt0087078/,movie,5.9,103,1984,"Action, Adventure, Fantasy",84090,1984-06-29,Richard Fleischer
44,tt2381991,2017-08-15,2017-08-15,,The Huntsman: Winter's War,https://www.imdb.com/title/tt2381991/,movie,6.1,114,2016,"Action, Adventure, Drama, Fantasy",117131,2016-03-29,Cedric Nicolas-Troyan
45,tt1667353,2017-08-15,2017-08-15,,Mirror Mirror,https://www.imdb.com/title/tt1667353/,movie,5.6,106,2012,"Adventure, Comedy, Drama, Family, Fantasy",90219,2012-03-15,Tarsem Singh
46,tt0089457,2017-08-15,2017-08-15,,Ladyhawke,https://www.imdb.com/title/tt0089457/,movie,6.9,121,1985,"Adventure, Comedy, Drama, Fantasy",49931,1985-03-27,Richard Donner
47,tt0082288,2017-08-15,2017-08-15,,Dragonslayer,https://www.imdb.com/title/tt0082288/,movie,6.6,108,1981,"Action, Adventure, Fantasy",19492,1981-06-26,Matthew Robbins
48,tt0207275,2017-08-15,2017-08-15,,The 10th Kingdom,https://www.imdb.com/title/tt0207275/,tvMiniSeries,8.3,417,2000,"Adventure, Comedy, Family, Fantasy, Mystery, Romance",19830,2000-02-27,
49,tt0249326,2017-08-21,2017-08-21,,Voyage of the Unicorn,https://www.imdb.com/title/tt0249326/,tvSeries,6.4,170,2001,"Adventure, Fantasy",1885,2001-03-02,
50,tt0071569,2017-09-05,2017-09-05,,The Golden Voyage of Sinbad,https://www.imdb.com/title/tt0071569/,movie,6.8,105,1973,"Action, Adventure, Fantasy",10184,1973-12-20,Gordon Hessler
51,tt3278330,2020-03-26,2020-03-26,,Il racconto dei racconti - Tale of Tales,https://www.imdb.com/title/tt3278330/,movie,6.4,134,2015,"Drama, Fantasy, Horror",30568,2015-05-14,Matteo Garrone
52,tt0084749,2020-03-27,2020-03-27,,The Sword and the Sorcerer,https://www.imdb.com/title/tt0084749/,movie,5.5,100,1982,"Action, Adventure, Fantasy, Horror",7277,1982-04-30,Albert Pyun
53,tt0402057,2020-03-27,2020-03-27,,Beowulf & Grendel,https://www.imdb.com/title/tt0402057/,movie,5.8,104,2005,"Action, Adventure, Drama, Fantasy",18429,2005-09-14,Sturla Gunnarsson
54,tt0479997,2017-08-15,2017-08-15,,Season of the Witch,https://www.imdb.com/title/tt0479997/,movie,5.4,95,2011,"Action, Adventure, Fantasy",97113,2011-01-04,Dominic Sena
55,tt0111999,2020-04-21,2020-04-21,,Hercules: The Legendary Journeys,https://www.imdb.com/title/tt0111999/,tvSeries,6.5,44,1995,"Action, Adventure, Drama, Fantasy, Romance",31253,1995-01-16,
56,tt0112230,2020-04-21,2020-04-21,,Xena: Warrior Princess,https://www.imdb.com/title/tt0112230/,tvSeries,6.7,45,1995,"Action, Adventure, Drama, Fantasy",47560,1995-09-04,
57,tt0110015,2020-04-21,2020-04-21,,Hercules and the Amazon Women,https://www.imdb.com/title/tt0110015/,tvMovie,6.3,91,1994,"Action, Adventure, Fantasy",3439,1994-04-25,Bill Norton
58,tt0110017,2020-04-21,2020-04-21,,Hercules: The Legendary Journeys - Hercules and the Lost Kingdom,https://www.imdb.com/title/tt0110017/,tvMovie,6.4,91,1994,"Action, Adventure, Fantasy",2675,1994-05-02,Harley Cokeliss
59,tt0110016,2020-04-21,2020-04-21,,Hercules: The Legendary Journeys - Hercules and the Circle of Fire,https://www.imdb.com/title/tt0110016/,tvMovie,6.4,91,1994,"Action, Adventure, Fantasy",2456,1994-10-31,Doug Lefler
60,tt0076716,2017-09-05,2017-09-05,,Sinbad and the Eye of the Tiger,https://www.imdb.com/title/tt0076716/,movie,6.4,113,1977,"Action, Adventure, Family, Fantasy",8411,1977-05-28,Sam Wanamaker
61,tt2034800,2020-03-27,2020-03-27,,The Great Wall,https://www.imdb.com/title/tt2034800/,movie,5.9,103,2016,"Action, Adventure, Fantasy, Thriller",143558,2016-12-06,Yimou Zhang
62,tt1335975,2020-02-19,2020-02-19,,47 Ronin,https://www.imdb.com/title/tt1335975/,movie,6.2,128,2013,"Action, Drama, Fantasy",168457,2013-12-06,Carl Rinsch
63,tt0039826,2017-09-05,2017-09-05,,"Sinbad, the Sailor",https://www.imdb.com/title/tt0039826/,movie,6.1,116,1947,"Adventure, Family, Fantasy, Romance",2160,1947-01-13,Richard Wallace
64,tt0056904,2017-09-05,2017-09-05,,Captain Sindbad,https://www.imdb.com/title/tt0056904/,movie,5.4,85,1963,"Action, Adventure, Family, Fantasy",1029,1963-04-13,Byron Haskin
65,tt1351685,2017-08-15,2017-08-15,,Jack the Giant Slayer,https://www.imdb.com/title/tt1351685/,movie,6.3,114,2013,"Action, Adventure, Fantasy",145009,2013-02-27,Bryan Singer
66,tt0083630,2017-08-15,2017-08-15,,The Beastmaster,https://www.imdb.com/title/tt0083630/,movie,6.2,118,1982,"Action, Adventure, Fantasy",24646,1982-08-16,Don Coscarelli
67,tt0085811,2017-08-15,2017-08-15,,Krull,https://www.imdb.com/title/tt0085811/,movie,6.1,116,1983,"Action, Adventure, Fantasy, Sci-Fi",35551,1983-07-29,Peter Yates
68,tt0355295,2017-08-15,2017-08-15,,The Brothers Grimm,https://www.imdb.com/title/tt0355295/,movie,5.9,118,2005,"Action, Adventure, Comedy, Fantasy, Horror, Mystery, Thriller",125069,2005-08-26,Terry Gilliam
69,tt0816462,2017-08-15,2017-08-15,,Conan the Barbarian,https://www.imdb.com/title/tt0816462/,movie,5.1,113,2011,"Action, Adventure, Fantasy",101879,2011-08-11,Marcus Nispel
70,tt0803096,2017-08-21,2017-08-21,,Warcraft,https://www.imdb.com/title/tt0803096/,movie,6.7,123,2016,"Action, Adventure, Fantasy",274552,2016-05-24,Duncan Jones
71,tt0110018,2020-04-21,2020-04-21,,Hercules in the Maze of the Minotaur,https://www.imdb.com/title/tt0110018/,tvMovie,6.0,90,1994,"Action, Adventure, Fantasy",2327,1994-11-14,Josh Becker
72,tt0110019,2020-04-21,2020-04-21,,Hercules in the Underworld,https://www.imdb.com/title/tt0110019/,tvMovie,6.5,90,1994,"Action, Adventure, Fantasy",2134,1994-11-07,Bill Norton
73,tt0817532,2020-04-21,2020-04-21,,Xena: Warrior Princess - A Friend in Need (The Director's Cut),https://www.imdb.com/title/tt0817532/,tvMiniSeries,7.4,100,2002,"Action, Adventure, Drama, Fantasy",1455,2002-03-26,
74,tt6475714,2020-05-22,2020-05-22,,Monster Hunter,https://www.imdb.com/title/tt6475714/,movie,5.2,103,2020,"Action, Adventure, Fantasy",65828,2020-09-03,Paul W.S. Anderson
75,tt0970452,2021-05-22,2021-05-22,,Solomon Kane,https://www.imdb.com/title/tt0970452/,movie,6.1,104,2009,"Action, Adventure, Fantasy, Horror",75595,2009-09-16,M.J. Bassett
76,tt1121096,2021-05-22,2021-05-22,,Seventh Son,https://www.imdb.com/title/tt1121096/,movie,5.5,102,2014,"Action, Adventure, Fantasy",79739,2014-12-17,Sergei Bodrov
77,tt3183660,2021-05-22,2021-05-22,,Fantastic Beasts and Where to Find Them,https://www.imdb.com/title/tt3183660/,movie,7.2,132,2016,"Adventure, Family, Fantasy",497710,2016-11-08,David Yates
78,tt1661199,2021-05-22,2021-05-22,,Cinderella,https://www.imdb.com/title/tt1661199/,movie,6.9,105,2015,"Adventure, Drama, Family, Fantasy, Romance",186946,2015-02-13,Kenneth Branagh
79,tt2316801,2021-05-22,2021-05-22,,La belle et la bête,https://www.imdb.com/title/tt2316801/,movie,6.4,112,2014,"Drama, Family, Fantasy, Romance, Thriller",22057,2014-02-12,Christophe Gans
80,tt2771200,2021-05-22,2021-05-22,,Beauty and the Beast,https://www.imdb.com/title/tt2771200/,movie,7.1,129,2017,"Adventure, Family, Fantasy, Musical, Romance",327492,2017-02-23,Bill Condon
81,tt0038348,2021-05-22,2021-05-22,,La Belle et la Bête,https://www.imdb.com/title/tt0038348/,movie,7.9,96,1946,"Drama, Fantasy, Romance",27668,1946-09-25,"René Clément, Jean Cocteau"
82,tt0449010,2021-05-25,2021-05-25,,Eragon,https://www.imdb.com/title/tt0449010/,movie,5.1,104,2006,"Action, Adventure, Family, Fantasy",129301,2006-12-11,Stefen Fangmeier
83,tt0814255,2021-05-25,2021-05-25,,Percy Jackson & the Olympians: The Lightning Thief,https://www.imdb.com/title/tt0814255/,movie,5.9,118,2010,"Adventure, Family, Fantasy",197175,2010-02-10,Chris Columbus
84,tt1854564,2021-05-25,2021-05-25,,Percy Jackson: Sea of Monsters,https://www.imdb.com/title/tt1854564/,movie,5.7,106,2013,"Adventure, Family, Fantasy",123373,2013-08-07,Thor Freudenthal
85,tt0963966,2021-05-25,2021-05-25,,The Sorcerer's Apprentice,https://www.imdb.com/title/tt0963966/,movie,6.1,109,2010,"Action, Adventure, Family, Fantasy",168022,2010-07-06,Jon Turteltaub
86,tt0416236,2021-05-25,2021-05-25,,The Spiderwick Chronicles,https://www.imdb.com/title/tt0416236/,movie,6.5,96,2008,"Action, Adventure, Drama, Family, Fantasy, Thriller",100923,2008-01-31,Mark Waters
87,tt1623205,2021-05-25,2021-05-25,,Oz the Great and Powerful,https://www.imdb.com/title/tt1623205/,movie,6.3,130,2013,"Adventure, Family, Fantasy",212770,2013-02-14,Sam Raimi
88,tt0403358,2021-07-09,2021-07-09,,Nochnoy dozor,https://www.imdb.com/title/tt0403358/,movie,6.4,114,2004,"Action, Fantasy, Horror, Thriller",54994,2004-06-27,Timur Bekmambetov
89,tt5635026,2021-08-11,2021-08-11,,Peter Pan & Wendy,https://www.imdb.com/title/tt5635026/,movie,4.4,106,2023,"Action, Adventure, Comedy, Family, Fantasy, Musical, Romance",26602,2023-04-28,David Lowery
90,tt5180504,2021-12-22,2021-12-22,,The Witcher,https://www.imdb.com/title/tt5180504/,tvSeries,8.0,60,2019,"Action, Adventure, Drama, Fantasy, Mystery",555818,2019-12-20,
