Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
228,tt0457572,2018-04-14,2018-04-14,,Fido,https://www.imdb.com/title/tt0457572/,movie,6.7,93,2006,"Comedy, Drama, Horror, Sci-Fi",29917,2006-09-07,Andrew Currie
229,tt0454841,2018-04-14,2018-04-14,,The Hills Have Eyes,https://www.imdb.com/title/tt0454841/,movie,6.4,107,2006,"Horror, Thriller",180509,2006-03-10,Alexandre Aja
230,tt0468492,2018-04-14,2018-04-14,,Gwoemul,https://www.imdb.com/title/tt0468492/,movie,7.1,120,2006,"Drama, Horror, Sci-Fi",129989,2006-05-21,Bong Joon Ho
231,tt0462485,2018-04-14,2018-04-14,,Poultrygeist: Night of the Chicken Dead,https://www.imdb.com/title/tt0462485/,movie,6.0,103,2006,"Comedy, Horror, Musical, Sci-Fi",9017,2006-12-29,Lloyd Kaufman
232,tt0454931,2021-10-31,2021-10-31,,Requiem,https://www.imdb.com/title/tt0454931/,movie,6.9,93,2006,"Drama, Horror",6066,2006-02-17,Hans-Christian Schmid
233,tt0464196,2018-04-14,2018-04-14,,Severance,https://www.imdb.com/title/tt0464196/,movie,6.4,96,2006,"Comedy, Horror",40252,2006-07-18,Christopher Smith
234,tt0439815,2018-04-14,2018-04-14,,Slither,https://www.imdb.com/title/tt0439815/,movie,6.5,95,2006,"Comedy, Horror, Sci-Fi",87529,2006-03-31,James Gunn
235,tt0410730,2018-04-14,2018-04-14,,Taxidermia,https://www.imdb.com/title/tt0410730/,movie,6.8,94,2006,"Comedy, Drama, Horror",18392,2006-02-03,György Pálfi
236,tt0465203,2018-04-14,2018-04-14,,Ils,https://www.imdb.com/title/tt0465203/,movie,6.4,77,2006,"Horror, Thriller",31740,2006-04-08,"Xavier Palud, David Moreau"
237,tt0478988,2018-04-14,2018-04-14,,The Call of Cthulhu,https://www.imdb.com/title/tt0478988/,movie,7.1,47,2005,"Horror, Mystery",8765,2005-10-07,Andrew Leman
238,tt0435625,2018-04-14,2018-04-14,,The Descent,https://www.imdb.com/title/tt0435625/,movie,7.2,99,2005,"Adventure, Horror, Thriller",241304,2005-03-11,Neil Marshall
239,tt0395584,2018-04-14,2018-04-14,,The Devil's Rejects,https://www.imdb.com/title/tt0395584/,movie,6.7,107,2005,"Crime, Drama, Horror, Western",104645,2005-07-22,Rob Zombie
240,tt0643109,2018-04-14,2018-04-14,[b]TV Episode[/b],Masters of Horror: John Carpenter's Cigarette Burns,https://www.imdb.com/title/tt0643109/,tvEpisode,7.5,59,2005,Horror,9652,2005-11-30,John Carpenter
241,tt0491399,2018-04-14,2018-04-14,,Haze,https://www.imdb.com/title/tt0491399/,movie,6.4,49,2005,"Horror, Mystery",3016,2005-04-28,Shin'ya Tsukamoto
242,tt0407236,2018-04-14,2018-04-14,,Sílení,https://www.imdb.com/title/tt0407236/,movie,7.2,118,2005,"Animation, Comedy, Drama, Horror",3906,2005-11-03,Jan Svankmajer
243,tt0453383,2018-04-14,2018-04-14,,Naboer,https://www.imdb.com/title/tt0453383/,movie,6.4,75,2005,"Horror, Mystery, Thriller",10479,2005-03-10,"Tony Spataro, Pål Sletaune"
244,tt0468820,2018-04-14,2018-04-14,,Noriko no shokutaku,https://www.imdb.com/title/tt0468820/,movie,7.1,159,2005,"Drama, Horror",4903,2005-07-04,Sion Sono
245,tt0930083,2018-04-14,2018-04-14,,Noroi,https://www.imdb.com/title/tt0930083/,movie,6.9,115,2005,"Horror, Mystery, Thriller",14766,2005-08-20,Kôji Shiraishi
246,tt0456630,2018-04-14,2018-04-14,,Rinne,https://www.imdb.com/title/tt0456630/,movie,6.1,96,2005,"Horror, Mystery",6709,2005-10-27,Takashi Shimizu
247,tt0492784,2018-04-14,2018-04-14,,Kimyô na sâkasu,https://www.imdb.com/title/tt0492784/,movie,6.9,108,2005,"Drama, Horror, Mystery, Thriller",6114,2005-10-14,Sion Sono
248,tt0416315,2018-04-14,2018-04-14,,Wolf Creek,https://www.imdb.com/title/tt0416315/,movie,6.2,99,2005,"Horror, Thriller",77052,2005-01-31,Greg McLean
249,tt0407621,2018-04-14,2018-04-14,,Calvaire,https://www.imdb.com/title/tt0407621/,movie,6.1,88,2004,"Drama, Horror, Thriller",13427,2004-05-18,Fabrice du Welz
250,tt0363547,2018-04-14,2018-04-14,,Dawn of the Dead,https://www.imdb.com/title/tt0363547/,movie,7.3,101,2004,"Action, Horror",267278,2004-03-10,Zack Snyder
251,tt0472458,2018-04-14,2018-04-14,,Gau ji,https://www.imdb.com/title/tt0472458/,movie,6.7,91,2004,"Drama, Horror",10095,2004-08-19,Fruit Chan
252,tt0167190,2018-04-14,2018-04-14,,Hellboy,https://www.imdb.com/title/tt0167190/,movie,6.8,122,2004,"Action, Adventure, Fantasy, Horror, Sci-Fi",344255,2004-03-30,Guillermo del Toro
253,tt0387564,2018-04-14,2018-04-14,,Saw,https://www.imdb.com/title/tt0387564/,movie,7.6,103,2004,"Horror, Mystery, Thriller",457050,2004-01-19,James Wan
254,tt0365748,2018-04-14,2018-04-14,,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,7.9,99,2004,"Comedy, Horror",583063,2004-03-29,Edgar Wright
255,tt0440803,2018-04-14,2018-04-14,,Shutter,https://www.imdb.com/title/tt0440803/,movie,7.0,97,2004,"Horror, Mystery, Thriller",48218,2004-09-09,"Banjong Pisanthanakun, Parkpoom Wongpoom"
256,tt0420251,2018-04-14,2018-04-14,,Sam gang 2,https://www.imdb.com/title/tt0420251/,movie,6.9,126,2004,Horror,20650,2004-08-20,"Takashi Miike, Fruit Chan, Park Chan-wook"
257,tt0436374,2018-04-14,2018-04-14,,El habitante incierto,https://www.imdb.com/title/tt0436374/,movie,6.7,90,2004,"Drama, Horror, Mystery, Thriller",6044,2004-12-07,Guillem Morales
258,tt0308152,2018-04-14,2018-04-14,,Dead End,https://www.imdb.com/title/tt0308152/,movie,6.5,85,2003,"Adventure, Horror, Mystery, Thriller",31368,2003-01-30,"Jean-Baptiste Andrea, Fabrice Canepa"
259,tt0361668,2018-04-14,2018-04-14,,Gokudô kyôfu dai-gekijô: Gozu,https://www.imdb.com/title/tt0361668/,movie,6.9,130,2003,"Crime, Drama, Horror, Mystery, Thriller",12587,2003-05-17,Takashi Miike
260,tt0338095,2018-04-14,2018-04-14,,Haute tension,https://www.imdb.com/title/tt0338095/,movie,6.7,91,2003,Horror,76476,2003-06-18,Alexandre Aja
261,tt0251736,2018-04-14,2018-04-14,,House of 1000 Corpses,https://www.imdb.com/title/tt0251736/,movie,6.0,89,2003,Horror,91854,2003-03-13,Rob Zombie
262,tt0365376,2018-04-14,2018-04-14,,"Janghwa, Hongryeon",https://www.imdb.com/title/tt0365376/,movie,7.1,114,2003,"Drama, Horror, Mystery, Thriller",66845,2003-06-13,Jee-woon Kim
